area,rooms,is_new,property_id,garages,stratum,property_type,baths,price,neighbourhood,city
53.0,3,False,bdf17da1-f10d-46e2-905e-f435a1c192ba,1,Estrato 3,Apartamento,2,170000000.0,Niquia,Bello
116.0,3,False,c1a1619d-b8ba-4224-990c-d308787a9f66,2,Estrato 4,Apartamento,2,580000000.0,Conquistadores,Medellín
90.0,3,False,f5ac4196-1c41-4572-bdb9-9cc0ce5750ad,1,Estrato 5,Apartamento,2,370000000.0,Urbanizacion altos de pilarica,Medellín
61.0,3,False,0c6987c1-badd-4aef-9f29-0b6c62258005,1,Estrato 4,Apartamento,2,270000000.0,La Aldea,La Estrella
45.0,3,False,14717cd6-59b7-49bb-bdde-a507ed95bf7d,Sin especificar,Estrato 3,Apartamento,1,170000000.0,Urbanizacion doña maria robledo,Medellín
68.0,3,False,1b6b6e6b-fb51-4973-a719-8fa4352df99a,1,Estrato 4,Apartamento,2,385000000.0,Los colores,Medellín
74.0,3,False,5c609af6-8e59-4d52-8831-39c0cf5833f5,1,Estrato 4,Apartamento,2,396000000.0,Niquia,Bello
52.0,2,False,5fd430cd-55d0-4ecc-a87a-6cc182a95d2e,1,Estrato 3,Apartamento,2,190000000.0,copacabana,Copacabana
52.0,3,False,67ea555b-b161-4ea7-803b-c56ef6de67ea,1,Estrato 4,Apartamento,2,245000000.0,Bello horizonte,Medellín
154.0,3,False,6cd44c88-e376-4230-ad26-56f979dad81a,1,Estrato 4,Apartamento,2,530000000.0,Los colores,Medellín
97.0,2,False,9ca2f175-0311-4eda-a51a-8594ee6a1525,1,Estrato 4,Apartamento,2,500000000.0,Suramerica,Itaguí
64.0,3,False,9e4a00d4-c72b-4628-8676-dde04ef86b32,Sin especificar,Estrato 4,Apartamento,2,298000000.0,Centro administrativo,Medellín
70.0,3,False,a245962b-df58-4cbe-8ba7-32edb22bf8c0,Sin especificar,Estrato 3,Apartamento,2,230000000.0,La cabañita,Bello
60.0,3,False,a715be2a-2b6b-49a0-b6be-c15d6fdf57b6,Sin especificar,Estrato 3,Apartamento,2,220000000.0,Rodeo Alto,Medellín
67.0,3,False,ab684325-7abd-4510-83d0-48063856d7a9,1,Estrato 4,Apartamento,2,285000000.0,Urbanizacion amazonia,Bello
87.0,3,False,acb376d8-39cd-4a94-b345-6f8c2894bdf9,1,Estrato 4,Apartamento,2,460000000.0,Suramerica,Itaguí
40.0,2,False,ace6e969-3d51-4923-bf73-14129f5ee887,Sin especificar,Estrato 3,Apartamento,1,150000000.0,Buenos Aires,Medellín
63.0,3,False,b266b93e-22e6-4e71-80be-1e002e6940f4,1,Estrato 4,Apartamento,2,320000000.0,Calasanz,Medellín
107.0,3,False,b3f04ec3-973c-4f16-90ef-a80160fb15e0,1,Estrato 4,Apartamento,2,600000000.0,Aves Maria,Sabaneta
63.0,3,False,b60c1043-a27a-4cc1-b605-eb11390b13f8,1,Estrato 3,Apartamento,2,215000000.0,Rodeo Alto,Medellín
170.0,3,False,ba862b01-f381-4c93-b37b-a4c3e13c177c,1,Estrato 5,Apartamento,3,1000000000.0,Laureles,Medellín
90.0,3,False,bbd6957e-7cba-427c-a6ed-f960c39ec724,1,Estrato 4,Apartamento,2,390000000.0,La doctora,Sabaneta
90.0,3,False,6f3976ff-7187-4e59-92c4-266f9c36eceb,1,Estrato 4,Apartamento,2,440000000.0,El carmelo,Sabaneta
58.0,3,False,77c33256-834f-4f8d-b646-8c385353c0c1,1,Estrato 3,Apartamento,2,275000000.0,Niquia,Bello
95.0,3,False,7bcd4fc3-70bf-4dcd-9658-45f60d88b6db,1,Estrato 5,Apartamento,2,520000000.0,La castellana,Medellín
226.0,4,False,7fab163a-e809-45af-9a78-8ee10e7a026e,1,Estrato 5,Apartamento,3,760000000.0,Laureles,Medellín
60.0,1,False,81cc8b0a-de90-4a8d-9be4-fccd4ae26c1a,1,Estrato 5,Apartamento,1,380000000.0,Loma del Escobero,Envigado
74.0,3,False,876f0144-febf-49de-9231-cbbeb8923581,1,Estrato 4,Apartamento,2,320000000.0,Suramerica,Itaguí
60.0,3,False,9620cf35-16cc-461e-8399-68d7c4ae2ee3,1,Estrato 4,Apartamento,2,340000000.0,San jose obrero,Bello
42.0,2,False,9a82af30-4771-428c-8da6-6d7437617853,Sin especificar,Estrato 3,Apartamento,1,130000000.0,El trapiche,Bello
76.0,3,False,37479dfe-f9bb-47e4-b5ac-8c8c5dfef229,1,Estrato 5,Apartamento,2,410000000.0,Calasanz,Medellín
65.0,1,False,3936ef36-b04d-4686-81c5-788680de7ad5,1,Estrato 3,Apartamento,1,190000000.0,San Antonio de Prado,Medellín
58.0,2,False,3be1ab9f-21fb-46b0-8fe4-c7ace07e3f1e,1,Estrato 4,Apartamento,2,285000000.0,vereda cañaveralejo,Sabaneta
126.0,3,False,3f39b8a6-fe97-4c14-a308-7cc6ef3ec9d2,1,Estrato 5,Apartamento,2,630000000.0,Zuñiga,Envigado
125.0,3,False,411240de-bba0-422a-94a0-2df1726df986,1,Estrato 6,Apartamento,2,820000000.0,Lalinde,Medellín
48.0,2,False,45f098a8-527b-4279-9ecc-6601b655fa82,Sin especificar,Estrato 1,Apartamento,2,130000000.0,Robledo,Medellín
59.0,2,False,4623ab4e-d87b-4f65-a3af-769454f48c51,Sin especificar,Estrato 4,Apartamento,2,325000000.0,Simon bolivar,Medellín
145.0,4,False,4a8d8e94-ef70-4adb-b05e-a85f44ab5d8d,2,Estrato 6,Apartamento,3,900000000.0,Urbanizacion vegas del poblado,Medellín
65.0,2,False,4e1b578b-5929-4018-ab2b-37fe0b1e78bf,1,Estrato 4,Apartamento,2,298000000.0,La ferreria,La Estrella
195.0,5,False,504c95da-b6ff-4ef9-a6b3-8fd6865da741,1,Estrato 5,Apartamento,4,625000000.0,Santa maria de los angeles,Medellín
70.0,2,False,51519d99-3cd0-46bd-a832-9c35cb277413,1,Estrato 4,Apartamento,2,455000000.0,San german,Medellín
60.0,3,False,599091d5-34c9-4f54-b4e5-878d5445d1db,1,Estrato 4,Apartamento,2,290000000.0,La Aldea,La Estrella
86.0,4,False,6180d15a-8593-42ee-bfba-7dacf8993366,Sin especificar,Estrato 3,Apartamento,2,275000000.0,Buenos aires,Medellín
44.0,3,False,66dfb19e-2715-4391-ad41-f9c9ce7ef43d,Sin especificar,Estrato 3,Apartamento,1,180000000.0,Robledo La Campiña,Medellín
78.0,3,False,67a51ec1-4e11-461a-990f-abe741c37c4c,1,Estrato 5,Apartamento,2,400000000.0,Loma de los bernal,Medellín
38.0,2,False,6e271c83-6736-4d75-ba00-634eff23204c,Sin especificar,Estrato 3,Apartamento,1,118000000.0,Barichara,Otros Municipios
40.0,3,False,03657923-07f3-4160-906f-07e25dca8de3,Sin especificar,Estrato 3,Apartamento,1,145000000.0,robledo la campiña,Medellín
124.0,3,False,0427c898-df74-4fe3-9956-f2f25cff3be6,Sin especificar,Estrato 5,Apartamento,3,420000000.0,Lorena,Medellín
45.0,3,False,0ab20dea-17e7-4c54-9ee1-13c7401118c1,Sin especificar,Estrato 3,Apartamento,1,200000000.0,Urbanizacion doña maria robledo,Medellín
58.0,2,False,0aefe033-455a-4a97-b5b5-73e102e41c8b,1,Estrato 3,Apartamento,2,200000000.0,Niquia,Bello
57.0,1,False,0c40cbc2-a5c8-4827-8b59-5bbc13e73215,Sin especificar,Estrato 4,Apartamento,1,420000000.0,Urbanizacion vegas del poblado,Medellín
110.0,3,False,0ee9e96c-eb3d-4fa7-92bd-7c326a8f3a15,1,Estrato 4,Apartamento,2,550000000.0,Aves Maria,Sabaneta
60.0,2,False,123725cf-42e8-4a53-871d-2e48eae68500,1,Estrato 4,Apartamento,2,350000000.0,Calasanz,Medellín
59.0,3,False,144d334b-b45c-473a-857d-2f9703275a90,1,Estrato 3,Apartamento,2,295000000.0,La mota,Medellín
72.0,3,False,1e907136-cb23-4b8e-ad35-6cf0fb89e5d3,1,Estrato 4,Apartamento,2,350000000.0,Suramerica,Itaguí
58.0,3,False,215f7647-d4d7-4de6-b169-4ac7584f2c54,1,Estrato 4,Apartamento,2,290000000.0,Bello horizonte,Medellín
53.0,2,False,235635f5-62ac-4695-baf5-5a25de7e7b08,Sin especificar,Estrato 2,Apartamento,1,155000000.0,Robledo,Medellín
73.0,3,False,bf9521e3-3b2f-4708-ab92-a94a4e16bc5b,1,Estrato 4,Apartamento,2,385000000.0,asdesillas,Sabaneta
54.0,3,False,c2923f11-5ddc-4db5-9276-b9acf8ed7155,Sin especificar,Estrato 3,Apartamento,2,210000000.0,Urbanizacion bucaros 2,Bello
67.0,3,False,c911f698-67fd-42f5-914c-981f373fd037,1,Estrato 4,Apartamento,2,385000000.0,vereda cañaveralejo,Sabaneta
